misra_cpp_id,source_kind,source_category,misra_cpp_pdf_page,misrust_class,paper_relevant_set,score_disposition,score_rule_ids,assessment_note,review_status,artifact_row,artifact_commit
0.0.1,Rule,Required,234,C3,no,reassessed_or_supporting_obligation,SCR-RUST-002,"Reassess C3: unreachable_code is a partial diagnostic, not a general proof of unreachable-statement absence.",draft_requires_review,1,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
0.0.2,Rule,Advisory,234,C6,yes,proposed_rust_obligation,SCR-RUST-003,,draft_requires_review,2,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
0.1.1,Rule,Advisory,234,C6,yes,proposed_rust_obligation,SCR-RUST-003,,draft_requires_review,3,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
0.1.2,Rule,Required,234,C6,yes,proposed_rust_obligation,SCR-RUST-004,,draft_requires_review,4,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
0.2.1,Rule,Advisory,234,C3,no,reassessed_or_supporting_obligation,SCR-RUST-002,Reassess C3: warning activation and suppressions matter; no unconditional hard-error guarantee.,draft_requires_review,5,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
0.2.2,Rule,Required,234,C3,no,reassessed_or_supporting_obligation,SCR-RUST-002,Reassess C3: unused parameters can compile; underscore patterns and suppression need a policy.,draft_requires_review,6,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
0.2.3,Rule,Advisory,234,C3,no,reassessed_or_supporting_obligation,SCR-RUST-002,Reassess C3: unused-type diagnostics depend on visibility and configuration.,draft_requires_review,7,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
0.2.4,Rule,Advisory,234,C3,no,reassessed_or_supporting_obligation,SCR-RUST-002,Reassess C3: unused-function diagnostics depend on visibility and configuration.,draft_requires_review,8,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
0.3.1,Dir,Advisory,234,C6,yes,proposed_rust_obligation,SCR-RUST-005,,draft_requires_review,9,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
0.3.2,Dir,Required,234,C6,yes,proposed_rust_obligation,SCR-RUST-006,,draft_requires_review,10,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
4.1.1,Rule,Required,234,C5,yes,proposed_rust_obligation,SCR-RUST-001,,draft_requires_review,11,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
4.1.2,Rule,Advisory,234,C6,yes,proposed_rust_obligation,SCR-RUST-002,,draft_requires_review,12,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
4.1.3,Rule,Required,234,C4,yes,proposed_rust_obligation,SCR-RUST-007,,draft_requires_review,13,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
4.6.1,Rule,Required,234,C4,yes,proposed_rust_obligation,SCR-RUST-008,,draft_requires_review,14,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec
