misra_cpp_id,source_kind,source_category,misra_cpp_pdf_page,misrust_class,paper_relevant_set,score_disposition,score_rule_ids,assessment_note,review_status,artifact_row,artifact_commit,scrc_applicability,scrc_misra_c_ref,scrc_guideline,scrc_category
0.0.1,Rule,Required,234,C3,no,proposed_rust_obligation,SCR-RUST-002,"SCRC: applies. Reassess C3: unreachable_code is a partial diagnostic, not a general proof of unreachable-statement absence.",draft_requires_review,1,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Rule 2.1,,
0.0.2,Rule,Advisory,234,C6,yes,proposed_rust_obligation,SCR-RUST-003,,draft_requires_review,2,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Rule 2.1,,
0.1.1,Rule,Advisory,234,C6,yes,proposed_rust_obligation,SCR-RUST-003,,draft_requires_review,3,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,"Rule 2.2, Rule 2.8",,
0.1.2,Rule,Required,234,C6,yes,proposed_rust_obligation,SCR-RUST-004,,draft_requires_review,4,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Rule 17.7,,
0.2.1,Rule,Advisory,234,C3,no,proposed_rust_obligation,SCR-RUST-002,SCRC: applies. Reassess C3: warning activation and suppressions matter; no unconditional hard-error guarantee.,draft_requires_review,5,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Rule 2.8,,
0.2.2,Rule,Required,234,C3,no,proposed_rust_obligation,SCR-RUST-002,SCRC: applies. Reassess C3: unused parameters can compile; underscore patterns and suppression need a policy.,draft_requires_review,6,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Rule 2.7,,
0.2.3,Rule,Advisory,234,C3,no,proposed_rust_obligation,SCR-RUST-002,SCRC: applies. Reassess C3: unused-type diagnostics depend on visibility and configuration.,draft_requires_review,7,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Rule 2.3,,
0.2.4,Rule,Advisory,234,C3,no,proposed_rust_obligation,SCR-RUST-002,SCRC: applies. Reassess C3: unused-function diagnostics depend on visibility and configuration.,draft_requires_review,8,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Rule 8.7 (tangential),,
0.3.1,Dir,Advisory,234,C6,yes,proposed_rust_obligation,SCR-RUST-005,,draft_requires_review,9,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
0.3.2,Dir,Required,234,C6,yes,proposed_rust_obligation,SCR-RUST-006,,draft_requires_review,10,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
4.1.1,Rule,Required,234,C5,yes,proposed_rust_obligation,SCR-RUST-001,,draft_requires_review,11,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
4.1.2,Rule,Advisory,234,C6,yes,proposed_rust_obligation,SCR-RUST-002,,draft_requires_review,12,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
4.1.3,Rule,Required,234,C4,yes,proposed_rust_obligation,SCR-RUST-007,,draft_requires_review,13,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Rule 1.3,,
4.6.1,Rule,Required,234,C4,yes,not_applicable,,SCRC: not applicable. Rust evaluation order is well defined. Mapping removed.,draft_requires_review,14,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
5.0.1,Rule,Advisory,234,C2,no,not_applicable,,"SCRC: not applicable. Native Rust rationale only; reconsider foreign calls, generated code and semantic analogues before exclusion.",draft_requires_review,15,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
5.7.1,Rule,Required,234,C3,no,proposed_rust_obligation,SCR-RUST-009,SCRC: applies to safe Rust; nested block comments make accidental commenting-out likely.,draft_requires_review,16,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Rule 3.1,,
5.7.2,Dir,Advisory,235,C6,yes,proposed_rust_obligation,SCR-RUST-009,,draft_requires_review,17,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Dir 4.4,,
5.7.3,Rule,Required,235,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,18,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,Rule 3.2,,
5.10.1,Rule,Required,235,C3,no,rule_assignment_pending,,SCRC: applies to safe Rust; follow Rust API Guidelines naming. No S-CORE rule yet (naming conventions).,draft_requires_review,19,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
5.13.1,Rule,Required,235,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,20,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
5.13.2,Rule,Required,235,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,21,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
5.13.3,Rule,Required,235,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,22,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
5.13.4,Rule,Required,235,C3,no,rule_assignment_pending,,SCRC: applies to safe Rust; unsuffixed literals fall back to i32 through inference. No S-CORE rule yet.,draft_requires_review,23,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
5.13.5,Rule,Required,235,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,24,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
5.13.6,Rule,Required,235,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,25,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
5.13.7,Rule,Required,235,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,26,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
6.0.1,Rule,Required,235,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,27,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
6.0.2,Rule,Advisory,235,C6,yes,not_applicable,,SCRC: not applicable. Follows MISRA C mapping; arrays carry their extent. Mapping removed.,draft_requires_review,28,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,Rule 8.11,,
6.0.3,Rule,Advisory,235,C5,yes,proposed_rust_obligation,SCR-RUST-011,,draft_requires_review,29,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
6.0.4,Rule,Required,235,C6,yes,proposed_rust_obligation,SCR-RUST-012,,draft_requires_review,30,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
6.2.1,Rule,Required,235,C4,yes,proposed_rust_obligation,SCR-RUST-013,Check symbol attributes across editions; edition 2021 and 2024 differ in unsafe-attribute syntax.,draft_requires_review,31,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
6.2.2,Rule,Required,235,C3,no,proposed_rust_obligation,SCR-RUST-013,SCRC: applies to unsafe Rust; extern declarations shall be type-compatible with the C declaration.,draft_requires_review,32,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,Rule 8.3 (closely related),,
6.2.3,Rule,Required,235,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,33,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
6.2.4,Rule,Required,235,C4,yes,not_applicable,,SCRC: not applicable. No header/linkage mechanism; covered by 6.2.1. Mapping removed.,draft_requires_review,34,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
6.4.1,Rule,Required,235,C6,yes,proposed_rust_obligation,SCR-RUST-014,Adaptation permits clear same-name transformations; this differs from a blanket shadowing prohibition.,draft_requires_review,35,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,Rule 5.3,,
6.4.2,Rule,Required,236,C5,yes,retained_beyond_scrc,SCR-RUST-014,"SCRC: not currently applicable, applicable once specialization stabilizes. Retained as supporting source for shadowing review.",draft_requires_review,36,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
6.4.3,Rule,Required,236,C3,no,not_applicable,,SCRC: not applicable. Verify the rationale against the pinned compiler/configuration before accepting coverage; no automatic waiver.,draft_requires_review,37,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
6.5.1,Rule,Advisory,236,C5,yes,not_applicable,,SCRC: not applicable. No header files; module system defines the interface. Mapping removed.,draft_requires_review,38,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
6.5.2,Rule,Advisory,236,C4,yes,not_applicable,,SCRC: not applicable. Symbol export requires explicit no_mangle/link_name/extern. Mapping removed.,draft_requires_review,39,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,not_applicable,,,
6.7.1,Rule,Required,236,C4,yes,proposed_rust_obligation,SCR-RUST-008,Broaden beyond unsafe: safe interior-mutability/global synchronization still needs design review.,draft_requires_review,40,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
6.7.2,Rule,Required,236,C4,yes,proposed_rust_obligation,SCR-RUST-008,Broaden beyond unsafe: Send is not a mutual-exclusion mechanism; globals can use safe interior mutability.,draft_requires_review,41,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,safe,,,
6.8.1,Rule,Required,236,C4,yes,proposed_rust_obligation,SCR-RUST-015,,draft_requires_review,42,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
6.8.2,Rule,Mandatory,236,C3,no,proposed_rust_obligation,SCR-RUST-015,SCRC: applies. Reassess C3: raw dangling pointers can escape compiler reference-lifetime checks.,draft_requires_review,43,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
6.8.3,Rule,Required,236,C3,no,proposed_rust_obligation,SCR-RUST-015,SCRC: applies. Compiler reference guarantees do not extend to every raw-pointer storage pattern.,draft_requires_review,44,9aafed8ea5d222625d4be7982b4f9e8ca2e29bec,unsafe,,,
